2026-02-14 16:58:32,118 | INFO | qsol.cli | Running compile on examples/tutorials/first_program.qsol
2026-02-14 16:58:32,193 | INFO | qsol.backend.instance | Instance instantiation completed for 1 problem(s)
2026-02-14 16:58:32,198 | INFO | qsol.backend.export | Artifacts exported to outdir/tutorial_first
2026-02-14 16:58:32,198 | INFO | qsol.compiler.pipeline | Compilation pipeline completed for examples/tutorials/first_program.qsol with 1 diagnostics
2026-02-14 16:58:32,198 | ERROR | qsol.cli | error[QSOL2101] equality requires matching Bool or numeric operands
2026-02-14 16:59:14,874 | INFO | qsol.cli | Running compile on examples/tutorials/first_program.qsol
2026-02-14 16:59:14,948 | ERROR | qsol.compiler.pipeline | Parse failure for examples/tutorials/first_program.qsol
2026-02-14 16:59:14,949 | ERROR | qsol.cli | error[QSOL1001] parse error
2026-02-14 16:59:29,102 | INFO | qsol.cli | Running compile on examples/tutorials/first_program.qsol
2026-02-14 17:01:08,389 | INFO | qsol.cli | Running compile on examples/tutorials/first_program.qsol
2026-02-14 17:01:08,456 | INFO | qsol.backend.instance | Instance instantiation completed for 1 problem(s)
2026-02-14 17:01:08,460 | INFO | qsol.backend.export | Artifacts exported to outdir/tutorial_first
2026-02-14 17:01:08,460 | INFO | qsol.compiler.pipeline | Compilation pipeline completed for examples/tutorials/first_program.qsol with 0 diagnostics
2026-02-14 17:01:08,461 | INFO | qsol.cli | Compilation artifacts exported to outdir/tutorial_first
